#options: 2560x1440 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=11000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:99 out:100 type:b dur:2 cpbdur:2 q:26.24 aq:24.78 tex:46080 mv:19553 misc:10127 imb:11 pmb:3095 smb:11294 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:26.19 aq:19.23 tex:1334807 mv:57687 misc:4546 imb:585 pmb:12089 smb:1726 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:26.21 aq:22.99 tex:79190 mv:27450 misc:10608 imb:24 pmb:3504 smb:10872 d:s ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:26.22 aq:23.89 tex:16544 mv:12836 misc:8084 imb:16 pmb:1933 smb:12451 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:26.20 aq:24.99 tex:29951 mv:17902 misc:8275 imb:13 pmb:2161 smb:12226 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:26.14 aq:19.05 tex:1299375 mv:57217 misc:5280 imb:600 pmb:11806 smb:1994 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:26.16 aq:22.74 tex:115400 mv:33480 misc:11688 imb:22 pmb:4730 smb:9648 d:s ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:26.18 aq:24.01 tex:10161 mv:8024 misc:5103 imb:6 pmb:1029 smb:13365 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:26.15 aq:24.40 tex:39574 mv:19667 misc:9703 imb:10 pmb:2837 smb:11553 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:26.16 aq:19.03 tex:1393560 mv:57636 misc:4596 imb:567 pmb:11755 smb:2078 d:s ref:0 ;
